school_key,identity_quality,redizo,school_name_raw,address_raw,city,postcode,school_type,programme_taxonomy,programme_identity,classification_quality,programme_group_raw,programme_group_16_raw,kkov_raw,programme_name_raw,programme_focus_raw,component,mean_mz_score_pct,mean_mz_candidates,max_mz_candidates,mz_school_mean_percentile,mz_school_mean_percentile_method,mz_school_mean_percentile_reference,mean_mz_participation_rate_vs_cj,n_years,first_year,last_year,slope_per_year,slope_mz_mean_score_pct_per_year,slope_mz_school_mean_percentile_per_year
redizo:600004562,redizo,600004562,VOŠ grafická a SPŠ grafická,"Hellichova 535, Praha, 11800",Praha,118 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,AJ,86.47900674936393,38.36363636363637,52.0,71.91493439727145,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.9968652037617555,11,2016,2026,0.8144466442964727,0.8144466442964727,1.3567399046115542
redizo:600004562,redizo,600004562,VOŠ grafická a SPŠ grafická,"Hellichova 535, Praha, 11800",Praha,118 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,CJ,72.06942993470933,38.45454545454545,52.0,71.45425392249534,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,-0.026349404561040363,-0.026349404561040363,-1.4051080062818193
redizo:600004562,redizo,600004562,VOŠ grafická a SPŠ grafická,"Hellichova 535, Praha, 11800",Praha,118 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,M,,,,,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,,11,2016,2026,,,
redizo:600004562,redizo,600004562,VOŠ grafická a SPŠ grafická,"Hellichova 535, Praha, 11800",Praha,118 00,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST2,ST2,,,,AJ,83.52766772832432,25.90909090909091,39.0,62.71488702809782,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.9209505184725125,11,2016,2026,1.0909748725397665,1.0909748725397665,1.8761392320118235
redizo:600004562,redizo,600004562,VOŠ grafická a SPŠ grafická,"Hellichova 535, Praha, 11800",Praha,118 00,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST2,ST2,,,,CJ,67.88044476757086,28.09090909090909,40.0,62.71048224807798,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,0.40086517121415005,0.40086517121415005,-0.9051257363449081
redizo:600004562,redizo,600004562,VOŠ grafická a SPŠ grafická,"Hellichova 535, Praha, 11800",Praha,118 00,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST2,ST2,,,,M,40.0,6.0,6.0,30.58169375534645,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,0.21428571428571427,11,2016,2026,,,
redizo:600004589,redizo,600004589,"Gymnázium Jana Nerudy, škola hl.m. Prahy","Hellichova 457, Praha, 11800",Praha,118 00,GY6,GY6,GY6,authoritative_programme_group16,GY6,GY6,,,,AJ,95.3651270942109,36.09090909090909,41.0,96.26949891241276,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.389679781034622,11,2016,2026,0.003951755819335302,0.003951755819335302,-0.138965482547482
redizo:600004589,redizo,600004589,"Gymnázium Jana Nerudy, škola hl.m. Prahy","Hellichova 457, Praha, 11800",Praha,118 00,GY6,GY6,GY6,authoritative_programme_group16,GY6,GY6,,,,CJ,86.22745539302076,94.0,118.0,97.58634864927043,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,0.3076864794149103,0.3076864794149103,-0.026393748885932596
redizo:600004589,redizo,600004589,"Gymnázium Jana Nerudy, škola hl.m. Prahy","Hellichova 457, Praha, 11800",Praha,118 00,GY6,GY6,GY6,authoritative_programme_group16,GY6,GY6,,,,M,75.96646489826901,19.272727272727273,25.0,86.11443601887179,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,0.2074135961232695,11,2016,2026,-0.3830377109521785,-0.3830377109521785,-1.6198441063022182
redizo:600004597,redizo,600004597,Malostranské gymnázium,"Josefská 626, Praha, 11800",Praha,118 00,GY8,GY8,GY8,authoritative_programme_group16,GY8,GY8,,,,AJ,95.68817241928822,26.125,40.0,96.80104853222112,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.5029735063217207,11,2016,2026,0.28462163219979636,0.28462163219979636,0.057633050734813375
redizo:600004597,redizo,600004597,Malostranské gymnázium,"Josefská 626, Praha, 11800",Praha,118 00,GY8,GY8,GY8,authoritative_programme_group16,GY8,GY8,,,,CJ,86.3965994391047,52.36363636363637,59.0,97.40742932067302,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,0.3470009800084819,0.3470009800084819,-0.07774098222587687
redizo:600004597,redizo,600004597,Malostranské gymnázium,"Josefská 626, Praha, 11800",Praha,118 00,GY8,GY8,GY8,authoritative_programme_group16,GY8,GY8,,,,M,69.52854640931973,30.818181818181817,54.0,72.53396580552668,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,0.5859829243209945,11,2016,2026,-0.5908356016189272,-0.5908356016189272,-2.409828386909442
redizo:600004601,redizo,600004601,"Taneční konzervatoř HMP, Praha 1, Křižovnická 7","Křižovnická 81, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,AJ,77.6153846153846,13.0,13.0,31.38801261829653,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2026 component=AJ,1.0,1,2026,2026,0.16433138477683976,0.16433138477683976,-1.2864403826176778
redizo:600004601,redizo,600004601,"Taneční konzervatoř HMP, Praha 1, Křižovnická 7","Křižovnická 81, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,CJ,64.0,13.0,13.0,44.48123620309051,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2026 component=CJ,1.0,1,2026,2026,0.6627086045267944,0.6627086045267944,0.09559717363175758
redizo:600004601,redizo,600004601,"Taneční konzervatoř HMP, Praha 1, Křižovnická 7","Křižovnická 81, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,M,,,,,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2026 component=M,,1,2026,2026,,,
redizo:600004601,redizo,600004601,Taneční konzervatoř hl.m. Prahy,"Křižovnická 81, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,AJ,83.73865957375958,13.5,18.0,63.13255202178291,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,1.0,10,2016,2025,0.16433138477683976,0.16433138477683976,-1.2864403826176778
redizo:600004601,redizo,600004601,Taneční konzervatoř hl.m. Prahy,"Křižovnická 81, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,CJ,70.2242046842047,13.5,18.0,67.81669194321555,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,10,2016,2025,0.6627086045267944,0.6627086045267944,0.09559717363175758
redizo:600004601,redizo,600004601,Taneční konzervatoř hl.m. Prahy,"Křižovnická 81, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,M,,,,,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,,10,2016,2025,,,
redizo:600004619,redizo,600004619,VOŠ stavební a SPŠ stavební,"Dušní 900, Praha, 11000",Praha,110 00,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST1,ST1,,,,AJ,85.88400194446886,36.36363636363637,54.0,69.97548991134924,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.45662730230661647,11,2016,2026,0.708630557087548,0.708630557087548,1.1261795004161592
redizo:600004619,redizo,600004619,VOŠ stavební a SPŠ stavební,"Dušní 900, Praha, 11000",Praha,110 00,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST1,ST1,,,,CJ,64.8901474121455,80.0,123.0,53.371693368554816,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,1.2249976102040312,1.2249976102040312,1.675358139968841
redizo:600004619,redizo,600004619,VOŠ stavební a SPŠ stavební,"Dušní 900, Praha, 11000",Praha,110 00,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST1,ST1,,,,M,60.38757497409469,43.18181818181818,89.0,54.4853013553884,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,0.5350263262981922,11,2016,2026,1.5931804315040563,1.5931804315040563,0.9053714651196871
redizo:600004627,redizo,600004627,VOŠ text.řem. a Stř.uměl.škola text.řem.,"U půjčovny 1274, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,AJ,80.05424156278504,24.727272727272727,33.0,52.9444421834324,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,1.0,11,2016,2026,1.591464748887469,1.591464748887469,2.9298728905581264
redizo:600004627,redizo,600004627,VOŠ text.řem. a Stř.uměl.škola text.řem.,"U půjčovny 1274, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,CJ,64.24763739554254,24.727272727272727,33.0,51.484868276691664,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,0.8841706883367028,0.8841706883367028,0.5712780189320317
redizo:600004627,redizo,600004627,VOŠ text.řem. a Stř.uměl.škola text.řem.,"U půjčovny 1274, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,M,,,,,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,,11,2016,2026,,,
redizo:600004635,redizo,600004635,"GYMNÁZIUM JANA PALACHA PRAHA 1, s.r.o.","Pštrossova 203, Praha, 11000",Praha,110 00,GY4,GY4,GY4,authoritative_programme_group16,GY4,GY4,,,,AJ,93.8858532409477,39.0,46.0,92.89247139406882,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.9171136036512318,11,2016,2026,0.430590339254952,0.430590339254952,0.7964284457735186
